question,answer
Tôi đã gọi cho HP về máy tính của tôi.,họ đã nói gì?
họ đã nói gì?,Họ nói tôi cần một ổ cứng mới.
Họ nói tôi cần một ổ cứng mới.,Điều đó quá tệ.Bao nhiêu là một cái mới?
Điều đó quá tệ.Bao nhiêu là một cái mới?,Nó không quá nhiều chỉ khoảng 85 đô la.
Nó không quá nhiều chỉ khoảng 85 đô la.,cộng với cài đặt?
cộng với cài đặt?,Không ổ cứng của tôi dễ dàng để loại bỏ và thay thế.
Không ổ cứng của tôi dễ dàng để loại bỏ và thay thế.,Thực ra?
Thực ra?,Vâng nó chỉ là một vài ốc vít.
Vâng nó chỉ là một vài ốc vít.,Thật tuyệt.
Thật tuyệt.,Nó tốt hơn rất nhiều so với việc trả cho ai đó 60 đô la.
Nó tốt hơn rất nhiều so với việc trả cho ai đó 60 đô la.,Nếu ổ cứng của tôi gặp sự cố tôi sẽ gọi cho bạn.
Địa chỉ email của bạn là gì?,nó bluedog123.
nó bluedog123.,bluedog123.Bạn có chắc đó là tất cả?
bluedog123.Bạn có chắc đó là tất cả?,Đúng.
Đúng.,KHÔNG.Điều đó không đầy đủ.
KHÔNG.Điều đó không đầy đủ.,Ý anh là gì?
Ý anh là gì?,Địa chỉ gửi thư của bạn là gì?
Địa chỉ gửi thư của bạn là gì?,456 Cherry Drive Pasadena CA 91170.
456 Cherry Drive Pasadena CA 91170.,đúng rồi.
đúng rồi.,Vậy vấn đề là gì?
Vậy vấn đề là gì?,Bluedog123 chỉ là đường phố.Bạn phải cho tôi mã thành phố tiểu bang và zip.
Bluedog123 chỉ là đường phố.Bạn phải cho tôi mã thành phố tiểu bang và zip.,Ồ tôi nhận được nó.Địa chỉ email của tôi là bluedog123@yahoo.com.
Tôi sẽ có một giấc ngủ ngắn.,Bạn nên rút phích cắm điện thoại.
Bạn nên rút phích cắm điện thoại.,đó là một ý kiến ​​hay.
đó là một ý kiến ​​hay.,Bạn có muốn tôi đánh thức bạn trong một giờ không?
Bạn có muốn tôi đánh thức bạn trong một giờ không?,không cám ơn.Chỉ cần để tôi ngủ cho đến khi tôi thức dậy.
không cám ơn.Chỉ cần để tôi ngủ cho đến khi tôi thức dậy.,Tôi sẽ bắt đầu bữa tối lúc 6:00.
Tôi sẽ bắt đầu bữa tối lúc 6:00.,được rồi.Tôi nghĩ rằng tôi sẽ tỉnh táo sau đó.
được rồi.Tôi nghĩ rằng tôi sẽ tỉnh táo sau đó.,Nếu không mũi của bạn sẽ đánh thức bạn dậy.
Nếu không mũi của bạn sẽ đánh thức bạn dậy.,Ý bạn là tôi sẽ ngửi thấy mùi thức ăn?
Ý bạn là tôi sẽ ngửi thấy mùi thức ăn?,Bạn thậm chí có thể mơ về bữa tối.
Bạn thậm chí có thể mơ về bữa tối.,Tôi không nghĩ rằng tôi sẽ mơ về bất cứ điều gì.Tôi thực sự mệt mỏi.
Tôi không nghĩ rằng tôi sẽ mơ về bất cứ điều gì.Tôi thực sự mệt mỏi.,Có một giấc ngủ ngắn.
Đó là một đám tang tốt đẹp.,Vâng bố nó đã được.
Vâng bố nó đã được.,Người con trai đã có một bài phát biểu tốt đẹp về cha mình.
Người con trai đã có một bài phát biểu tốt đẹp về cha mình.,Nó cũng dài.
Nó cũng dài.,Tôi nghĩ rằng nó dài khoảng 45 phút.
Tôi nghĩ rằng nó dài khoảng 45 phút.,Nhưng nó đã đi nhanh chóng.nó rất thú vị.
Nhưng nó đã đi nhanh chóng.nó rất thú vị.,tôi thích nó.
tôi thích nó.,Tôi cũng sẽ cho bạn một bài phát biểu như thế.
Tôi cũng sẽ cho bạn một bài phát biểu như thế.,Bạn có nghĩ rằng có ai đến dự đám tang của tôi không?
Bạn có nghĩ rằng có ai đến dự đám tang của tôi không?,tất nhiên rồi.
tất nhiên rồi.,Tôi nghĩ rằng chỉ có gia đình sẽ ở đó.
Tôi nghĩ rằng chỉ có gia đình sẽ ở đó.,Bạn có rất nhiều bạn bè.Họ cũng sẽ ở đó!
yike!Tiếng ồn đó là gì?,Tôi đã phải thổi mũi.
Tôi đã phải thổi mũi.,Bạn đã phải thổi ngay bên cạnh điện thoại?
Bạn đã phải thổi ngay bên cạnh điện thoại?,Bạn có nghe thấy điều đó không?
Bạn có nghe thấy điều đó không?,Tất nhiên tôi đã nghe điều đó.Tôi nghĩ rằng một chiếc máy bay đã đâm vào nhà bạn.
Tất nhiên tôi đã nghe điều đó.Tôi nghĩ rằng một chiếc máy bay đã đâm vào nhà bạn.,Nó không phải là lớn.
Nó không phải là lớn.,Tôi sẽ thổi mũi một lúc nào đó cho bạn và bạn sẽ thấy.
Tôi sẽ thổi mũi một lúc nào đó cho bạn và bạn sẽ thấy.,được rồi.Ill dùng từ ngữ của bạn cho nó.
được rồi.Ill dùng từ ngữ của bạn cho nó.,Tôi nghĩ rằng bạn đã có một con voi trong nhà của bạn.
Tôi nghĩ rằng bạn đã có một con voi trong nhà của bạn.,bạn thật hài hước.
bạn thật hài hước.,bạn nói gì?Tôi nghĩ rằng tôi đã bị điếc.
bạn nói gì?Tôi nghĩ rằng tôi đã bị điếc.,Tôi đang đi vào phòng tắm để thổi mũi.tôi sẽ trở lại ngay.
Tôi có nhiều bạn bè.,Thực ra?Bạn có bao nhiêu?
Thực ra?Bạn có bao nhiêu?,Tôi không biết có thể một trăm.
Tôi không biết có thể một trăm.,Đó là rất nhiều bạn bè.bạn co ngươi bạn thân nao không?
Đó là rất nhiều bạn bè.bạn co ngươi bạn thân nao không?,tất nhiên rồi.Tôi có rất nhiều người bạn tốt nhất.
tất nhiên rồi.Tôi có rất nhiều người bạn tốt nhất.,Bạn có bao nhiêu người bạn tốt nhất?
Bạn có bao nhiêu người bạn tốt nhất?,Tôi nghĩ về hai mươi lăm.
Tôi nghĩ về hai mươi lăm.,Hmm.Tôi chỉ có một người bạn tốt nhất.
Hmm.Tôi chỉ có một người bạn tốt nhất.,Tôi cảm thấy tiếc cho bạn.
Tôi cảm thấy tiếc cho bạn.,Tôi chỉ có một vài người bạn.
Tôi chỉ có một vài người bạn.,Bạn phải cô đơn.Tôi sẽ chia sẻ bạn bè của tôi với bạn.
Bạn phải cô đơn.Tôi sẽ chia sẻ bạn bè của tôi với bạn.,Điều đó rất tốt với bạn.
Đừng bao giờ lừa dối tôi.,tại sao tôi nên làm vậy?
tại sao tôi nên làm vậy?,Vì đàn ông thích lừa dối.
Vì đàn ông thích lừa dối.,Một số người đàn ông làm nhưng không phải tôi.
Một số người đàn ông làm nhưng không phải tôi.,Tôi đang theo dõi bạn.
Tôi đang theo dõi bạn.,Tôi là một cuốn sách mở.Xem tôi tất cả những gì bạn muốn.
Tôi là một cuốn sách mở.Xem tôi tất cả những gì bạn muốn.,Nếu tôi bắt được bạn bạn sẽ xin lỗi.
Nếu tôi bắt được bạn bạn sẽ xin lỗi.Bạn sẽ không bắt được tôi vì tôi yêu bạn.,Tôi không phải là một kẻ lừa đảo.
Bạn sẽ không bắt được tôi vì tôi yêu bạn.Tôi không phải là một kẻ lừa đảo.,Tôi sẽ chọc mắt ra.
Tôi sẽ chọc mắt ra.,Tôi không muốn bất kỳ người phụ nữ nào khác.
Tôi không muốn bất kỳ người phụ nữ nào khác.,Tôi sẽ cắt ngón chân của bạn từng cái một.
Tôi sẽ cắt ngón chân của bạn từng cái một.đi mà em yêu.Bạn là người phụ nữ duy nhất cho tôi, mãi mãi.tôi thề.
Tôi ghét đi ra ngoài.,Tôi cũng vậy.
Tôi cũng vậy.,Tại sao bạn ghét đi ra ngoài?
