question,answer
Đó là mới vào năm 2003.,Vì vậy bây giờ nó khá cũ.
Vì vậy bây giờ nó khá cũ.,Vâng đúng vậy.Nhưng nó vẫn có vẻ tốt.
Vâng đúng vậy.Nhưng nó vẫn có vẻ tốt.,Bạn đã chăm sóc nó tốt chứ?
Bạn đã chăm sóc nó tốt chứ?,Ồ vâng.Tôi rửa nó mỗi tuần một lần.
Ồ vâng.Tôi rửa nó mỗi tuần một lần.,Bạn có thay dầu không?
Bạn có thay dầu không?,thợ máy của tôi thay đổi dầu hai lần một năm.
bạn có bạn gái không?,Không tôi không.bạn có?
Không tôi không.bạn có?,Tôi cũng không có bạn gái.
Tôi cũng không có bạn gái.,tại sao không?
tại sao không?,Tôi không biết.Có lẽ tôi không đủ giàu.
Tôi không biết.Có lẽ tôi không đủ giàu.,Cô gái thích những chàng trai có tiền.
Cô gái thích những chàng trai có tiền.,Họ chắc chắn làm.
Họ chắc chắn làm.,Họ thích những người có xe mới.
Họ thích những người có xe mới.,Tôi không có tiền hoặc một chiếc xe mới.
Tôi không có tiền hoặc một chiếc xe mới.,tôi cũng không.
tôi cũng không.,Nhưng những cô gái như những chàng trai hài hước.
Nhưng những cô gái như những chàng trai hài hước.,Có lẽ chúng ta nên học một số trò đùa hay.
Bạn đi đâu?,tôi phải dẫn chó đi dạo.
tôi phải dẫn chó đi dạo.,Bạn nuôi bao nhiêu loại chó?
Bạn nuôi bao nhiêu loại chó?,Tôi có một chút chó xù.
Tôi có một chút chó xù.,Poodles sủa rất nhiều.
Poodles sủa rất nhiều.,Họ chắc chắn làm.
Họ chắc chắn làm.,Họ sủa mọi thứ.
Họ sủa mọi thứ.,Họ không bao giờ im lặng.
Họ không bao giờ im lặng.,Tại sao bạn lại nhận được một con chó xù?
Tại sao bạn lại nhận được một con chó xù?,Đó là con chó của mẹ tôi.
Đó là con chó của mẹ tôi.,Vì vậy cô ấy thích poodles.
Vì vậy cô ấy thích poodles.,Cô ấy nói rằng họ là những người theo dõi tốt.
Tôi có thể vay $ 5 không?,Chắc chắn.tại sao bạn cần nó?
Chắc chắn.tại sao bạn cần nó?,Tôi muốn mua bữa trưa.
Tôi muốn mua bữa trưa.,Tiền của bạn ở đâu?
Tiền của bạn ở đâu?,Nó không có trong ví của tôi.
Nó không có trong ví của tôi.,Ví của bạn trống?
Ví của bạn trống?,Tôi thậm chí không có một đô la trong đó.
Tôi thậm chí không có một đô la trong đó.,Bị phá vỡ là không vui.
Bị phá vỡ là không vui.,Ngay cả khi nó chỉ trong một thời gian ngắn.
Ngay cả khi nó chỉ trong một thời gian ngắn.,Luôn luôn tốt khi có bạn bè.
Luôn luôn tốt khi có bạn bè.,Bạn bè sẽ cho bạn vay tiền khi bạn bị phá vỡ.
Bạn bè sẽ cho bạn vay tiền khi bạn bị phá vỡ.,Miễn là bạn trả lại cho họ.
Hãy đi biển.,đó là một ý tưởng tuyệt vời.
đó là một ý tưởng tuyệt vời.,Chúng tôi đã không ở trong một thời gian.
Chúng tôi đã không ở trong một thời gian.,Chúng tôi đã không ở trong một tháng.
Chúng tôi đã không ở trong một tháng.,Lần cuối cùng chúng tôi đi bạn gần như chết đuối.
Lần cuối cùng chúng tôi đi bạn gần như chết đuối.,Không tôi đã không.
Không tôi đã không.,Vậy thì tại sao nhân viên cứu hộ lặn xuống nước?
Vậy thì tại sao nhân viên cứu hộ lặn xuống nước?,Tôi nghĩ rằng anh ấy muốn giải nhiệt.
Tôi nghĩ rằng anh ấy muốn giải nhiệt.,Anh ấy đã bơi ngay với bạn.
Anh ấy đã bơi ngay với bạn.,Và rồi anh quay lại ngay.
Và rồi anh quay lại ngay.,có lẽ bạn nói đúng.
có lẽ bạn nói đúng.,Có lẽ chúng ta nên đi.
Bạn kết hôn rồi phải không?,KHÔNG.Tôi đã ly dị.
KHÔNG.Tôi đã ly dị.,Bạn đã ly hôn khi nào?
Bạn đã ly hôn khi nào?,Tôi đã ly hôn hai năm trước.
Tôi đã ly hôn hai năm trước.,Tại sao bạn đã ly hôn?
Tại sao bạn đã ly hôn?,Vợ tôi đã bỏ tôi.
Vợ tôi đã bỏ tôi.,Tại sao cô ấy rời bỏ bạn?
Tại sao cô ấy rời bỏ bạn?,Cô ấy nói cô ấy không còn yêu tôi nữa.
Cô ấy nói cô ấy không còn yêu tôi nữa.,Ồ!đó là khủng khiếp.
Ồ!đó là khủng khiếp.,đúng.
đúng.,Tại sao cô ấy không yêu bạn nữa?
Tại sao cô ấy không yêu bạn nữa?,Cô ấy đã yêu người bạn thân nhất của tôi.
Tôi chán.,TV có gì?
TV có gì?,Không có gì.
Không có gì.,Phải có một cái gì đó trên TV!
Phải có một cái gì đó trên TV!,Không có gì thú vị.
Không có gì thú vị.,Còn chương trình trò chơi mới đó thì sao?
Còn chương trình trò chơi mới đó thì sao?,cái nào?
cái nào?,"giải quyết hoặc không có thỏa thuận"
"giải quyết hoặc không có thỏa thuận",Nói với tôi rằng bạn đang nói đùa.
Nói với tôi rằng bạn đang nói đùa.,Tôi yêu chương trình đó.
Tôi yêu chương trình đó.,Tôi đã xem nó một lần.thế là đủ.
Tôi đã xem nó một lần.thế là đủ.,Nó đang ở ngay bây giờ.Hãy cùng nhau xem nó.
tôi thích sống ở đây.,tôi đồng ý.Pasadena là một thành phố đẹp.
tôi đồng ý.Pasadena là một thành phố đẹp.,Nó không quá lớn.
Nó không quá lớn.,Và nó không quá nhỏ.
Và nó không quá nhỏ.,Nó có thời tiết tuyệt vời suốt cả năm.
Nó có thời tiết tuyệt vời suốt cả năm.,Nó có cuộc diễu hành hoa hồng.
Nó có cuộc diễu hành hoa hồng.,Nó có những ngôi nhà đẹp.
Nó có những ngôi nhà đẹp.,Nó có nhà hàng tuyệt vời.
Nó có nhà hàng tuyệt vời.,Nó có trường học tuyệt vời.
Nó có trường học tuyệt vời.,Nó gần với những ngọn núi.
Nó gần với những ngọn núi.,Người dân thân thiện.
Người dân thân thiện.,Tôi sẽ không bao giờ rời đi.
Chúng tôi cần một nệm mới.,Có chuyện gì với cái này?
Có chuyện gì với cái này?,Nó không thoải mái.
Nó không thoải mái.,Nó có vẻ tốt với tôi.
Nó có vẻ tốt với tôi.,Tôi ném và quay cả đêm.
Tôi ném và quay cả đêm.,Bạn nên ngừng uống cà phê.
Bạn nên ngừng uống cà phê.,Nhìn vào những dấu hiệu trên cánh tay của tôi.
Nhìn vào những dấu hiệu trên cánh tay của tôi.,họ là ai?
họ là ai?,Họ là những vết cắn.
Họ là những vết cắn.,Con mèo đã cắn bạn?
Con mèo đã cắn bạn?,KHÔNG.Những chiếc rệp trong nệm đó cắn tôi.
KHÔNG.Những chiếc rệp trong nệm đó cắn tôi.,được rồi.Hãy lấy một chiếc nệm mới.
