question,answer
Tất nhiên tôi làm.Nhưng không phải trên cờ của chúng tôi!,Mỗi quốc gia nên có một người phụ nữ xinh đẹp trên cờ của họ.
Mỗi quốc gia nên có một người phụ nữ xinh đẹp trên cờ của họ.,Bạn không thể đi chiến tranh mang theo một lá cờ với một người phụ nữ trên đó!
Tôi đã có một buổi sáng bận rộn.,bạn đã làm gì?
bạn đã làm gì?,Tôi tưới tất cả các nhà máy.
Tôi tưới tất cả các nhà máy.,Bạn có rất nhiều cây.
Bạn có rất nhiều cây.,Sau đó tôi đã giặt đồ của tôi.
Sau đó tôi đã giặt đồ của tôi.,Điều đó mất một chút thời gian.
Điều đó mất một chút thời gian.,Tôi đưa con chó đi dạo.
Tôi đưa con chó đi dạo.,Tôi cá là anh ấy rất thích đi bộ của anh ấy.
Tôi cá là anh ấy rất thích đi bộ của anh ấy.,Tôi hút bụi toàn bộ ngôi nhà.
Tôi hút bụi toàn bộ ngôi nhà.,Đó là rất nhiều công việc.
Đó là rất nhiều công việc.,Và sau đó tôi làm bữa trưa.
Và sau đó tôi làm bữa trưa.,Tôi cá là bạn đã đói!
Tôi không có dịch vụ đường dài với điện thoại nhà.,Vậy làm thế nào để bạn thực hiện các cuộc gọi đường dài?
Vậy làm thế nào để bạn thực hiện các cuộc gọi đường dài?,Tôi sử dụng thẻ gọi.
Tôi sử dụng thẻ gọi.,Bạn lấy cái đó ở đâu?
Bạn lấy cái đó ở đâu?,Tôi mua nó tại cửa hàng đô la.
Tôi mua nó tại cửa hàng đô la.,cái này giá bao nhiêu?
cái này giá bao nhiêu?,Đó là một đô la trong 100 phút.
Đó là một đô la trong 100 phút.,Đó chỉ là một xu một phút!
Đó chỉ là một xu một phút!,Đó là một mức giá tuyệt vời.Nhưng bạn phải quay số rất nhiều số.
Đó là một mức giá tuyệt vời.Nhưng bạn phải quay số rất nhiều số.,bao nhiêu?
bao nhiêu?,Đầu tiên bạn quay số bảy số sau đó mười số sau đó mười số nữa.
Đầu tiên bạn quay số bảy số, sau đó mười số sau đó mười số nữa.yike.Tôi nghĩ rằng tôi sẽ giữ dịch vụ đường dài của mình.
Bạn có học đại học không?,em đồng ý.
em đồng ý.,Bạn đi học đại học nào?
Bạn đi học đại học nào?,Tôi đến trường Cao đẳng Thành phố Pasadena.
Tôi đến trường Cao đẳng Thành phố Pasadena.,Bạn có thích nó không?
Bạn có thích nó không?,Ồ vâng tôi thực sự thích nó.
Ồ vâng tôi thực sự thích nó.,tại sao bạn thích nó?
tại sao bạn thích nó?,Bởi vì nó có những giáo viên tuyệt vời.
Bởi vì nó có những giáo viên tuyệt vời.,Cái gì khác?
Cái gì khác?,Tôi cũng thích tất cả các bạn cùng lớp của mình.
Tôi cũng thích tất cả các bạn cùng lớp của mình.,còn gì nữa không?
còn gì nữa không?,Đúng.nó không đắt tiền!
Tôi đã mất cây bút mới của mình.,Bạn đã mất nó ở đâu?
Bạn đã mất nó ở đâu?,Tôi không biết.
Tôi không biết.,Bạn đã mất nó khi nào?
Bạn đã mất nó khi nào?,Tôi nghĩ rằng tôi đã mất nó ngày hôm nay.Tôi đã sử dụng nó ngày hôm qua.
Tôi nghĩ rằng tôi đã mất nó ngày hôm nay.Tôi đã sử dụng nó ngày hôm qua.,Bạn đã kiểm tra tất cả các túi của bạn?
Bạn đã kiểm tra tất cả các túi của bạn?,Tôi đã kiểm tra tất cả các túi của tôi.
Tôi đã kiểm tra tất cả các túi của tôi.,Bạn đã nhìn vào bàn làm việc của bạn?
Bạn đã nhìn vào bàn làm việc của bạn?,Đúng.Nó cũng không có ở đó.
Đúng.Nó cũng không có ở đó.,Nó có lẽ ở đâu đó.
Nó có lẽ ở đâu đó.,Ồ tốt nó chỉ tốn một đô la.
Ồ tốt nó chỉ tốn một đô la.,Chỉ một đô la?thậm chí không tìm kiếm nó.
Trọng lực là rất quan trọng.,Trọng lực là gì?
Trọng lực là gì?,Đó là lực kéo mọi thứ xuống.
Đó là lực kéo mọi thứ xuống.,Tôi không hiểu.
Tôi không hiểu.,Nếu bạn đổ nước vào ly nước chảy xuống ly.
Nếu bạn đổ nước vào ly nước chảy xuống ly.,tất nhiên là thế.
tất nhiên là thế.,Không có trọng lực nước sẽ tăng lên.
Không có trọng lực nước sẽ tăng lên.,bạn đang nói đùa.
bạn đang nói đùa.,Không có trọng lực bạn sẽ đi lên.
Không có trọng lực bạn sẽ đi lên.,Ý anh là gì?
Ý anh là gì?,Bạn sẽ nổi lên bầu trời như một quả bóng bay.
Bạn sẽ nổi lên bầu trời như một quả bóng bay.,Đó sẽ là niềm vui!
Tôi không thể đọc cuốn sách của mình.,bật đèn.
bật đèn.,bóng đèn đang bật.
bóng đèn đang bật.,mở sách ra.
mở sách ra.,Cuốn sách được mở.
Cuốn sách được mở.,gặp bác sĩ mắt.
gặp bác sĩ mắt.,Đó là những gì tôi cần làm.
Đó là những gì tôi cần làm.,Anh ấy sẽ cho bạn một đơn thuốc cho kính.
Anh ấy sẽ cho bạn một đơn thuốc cho kính.,Tôi sẽ hẹn vào ngày mai.
Tôi sẽ hẹn vào ngày mai.,Tôi sẽ nhận được các trang vàng cho một bác sĩ mắt.
Tôi sẽ nhận được các trang vàng cho một bác sĩ mắt.,Đọc số điện thoại cho tôi.
Đọc số điện thoại cho tôi.,Tôi sẽ đọc nó rất lớn trong trường hợp phiên điều trần của bạn cũng trở nên tồi tệ.
Bạn cần gì cho trường học?,Tôi cần bút chì.
Tôi cần bút chì.,còn gì nữa không?
còn gì nữa không?,Tôi cần một cuốn sổ.
Tôi cần một cuốn sổ.,Bạn có cần một cây bút?
Bạn có cần một cây bút?,KHÔNG.Tôi đã có một cây bút.
KHÔNG.Tôi đã có một cây bút.,Bạn có cần một máy tính?
Bạn có cần một máy tính?,KHÔNG.Giáo viên không cho phép máy tính.
KHÔNG.Giáo viên không cho phép máy tính.,Làm thế nào về một từ điển?
Làm thế nào về một từ điển?,Không chúng tôi có một từ điển lớn trong lớp học.
Không chúng tôi có một từ điển lớn trong lớp học.,Chà tôi đoán đó là nó.
Chà tôi đoán đó là nó.,Vâng đó là tất cả những gì tôi cần cho bây giờ.
Tôi thích tạp chí này.,tôi cũng thế.
tôi cũng thế.,Tôi đã đọc nó một lần và tôi đã đăng ký.
Tôi đã đọc nó một lần và tôi đã đăng ký.,Nó cung cấp cho bạn tất cả các tin tức.
Nó cung cấp cho bạn tất cả các tin tức.,Tất cả các tin tức chỉ trong 50 trang.
Tất cả các tin tức chỉ trong 50 trang.,Tôi thích các phim hoạt hình chính trị.
Tôi thích các phim hoạt hình chính trị.,Tôi thích những bức ảnh đẹp của những ngôi nhà để bán.
Tôi thích những bức ảnh đẹp của những ngôi nhà để bán.,Tôi luôn đọc các đánh giá phim.
Tôi luôn đọc các đánh giá phim.,Tôi không bao giờ bỏ lỡ phần thức ăn và đồ uống.
Tôi không bao giờ bỏ lỡ phần thức ăn và đồ uống.,Tôi đã đăng ký cho bố mẹ tôi.
Tôi đã đăng ký cho bố mẹ tôi.,Tôi cũng vậy.Họ đã hủy bỏ các tạp chí tin tức khác của họ.
Tôi cũng vậy.Họ đã hủy bỏ các tạp chí tin tức khác của họ.,của tôi cũng vậy!
Bút của tôi đã hết mực.,Lắc nó một vài lần.
Lắc nó một vài lần.,Tôi đã lắc nó.Không có thêm mực.
Tôi đã lắc nó.Không có thêm mực.,Bạn có thể mượn của tôi.
Bạn có thể mượn của tôi.,Cảm ơn.Tôi sẽ mua một cái mới vào ngày mai.
Cảm ơn.Tôi sẽ mua một cái mới vào ngày mai.,Bạn đã làm gì?
Bạn đã làm gì?,Tôi đã viết một lá thư.
Tôi đã viết một lá thư.,Bạn đã viết thư cho ai?
Bạn đã viết thư cho ai?,Nó là với mẹ tôi.
Nó là với mẹ tôi.,Nói với cô ấy rằng tôi đã nói xin chào.
Nói với cô ấy rằng tôi đã nói xin chào.,được rồi.Tôi sẽ trả lại bút của bạn khi tôi hoàn thành.
được rồi.Tôi sẽ trả lại bút của bạn khi tôi hoàn thành.,Hãy dành thời gian của bạn.
bạn đã làm xong bài tập chưa?,Chưa.
Chưa.,Vậy tại sao bạn lại xem TV?
Vậy tại sao bạn lại xem TV?,Đây là chương trình yêu thích của tôi.
Đây là chương trình yêu thích của tôi.,đi làm bài tập về nhà của bạn.
đi làm bài tập về nhà của bạn.,nhưng mẹ!
nhưng mẹ!,Bạn có thể xem TV sau khi bạn làm bài tập về nhà.
Bạn có thể xem TV sau khi bạn làm bài tập về nhà.,Nhưng chương trình sẽ kết thúc.
Nhưng chương trình sẽ kết thúc.,Sẽ có một chương trình khác vào tuần tới.
Sẽ có một chương trình khác vào tuần tới.,Xin vui lòng?
Xin vui lòng?,Bạn biết luật rồi đấy.
Bạn biết luật rồi đấy.,Tôi ghét các quy tắc!Tôi không thể đợi cho đến khi tôi lớn lên.
Tôi không thể đợi cho đến khi tôi tốt nghiệp.,Tôi cũng vậy.
Tôi cũng vậy.,Không còn bài tập về nhà.
Không còn bài tập về nhà.,Tôi ghét bài tập về nhà.
Tôi ghét bài tập về nhà.,Bạn sẽ đi học đại học chứ?
Bạn sẽ đi học đại học chứ?,Tôi không đủ khả năng.
Tôi không đủ khả năng.,tôi cũng không.
tôi cũng không.,Vậy bạn sẽ làm gì tiếp?
Vậy bạn sẽ làm gì tiếp?,Tôi đang gia nhập quân đội.
Tôi đang gia nhập quân đội.,bạn đang đùa.Bạn có thể bị giết.
bạn đang đùa.Bạn có thể bị giết.,Tôi không nghĩ vậy.Sau khi hoàn thành tôi sẽ có đủ tiền để học đại học.
Tôi không nghĩ vậy.Sau khi hoàn thành tôi sẽ có đủ tiền để học đại học.,Đó không phải là một ý tưởng tồi.
bạn học ngành gì vậy?,Tiếng Anh.
Tiếng Anh.,Bạn sẽ làm gì với một chuyên ngành tiếng Anh?
Bạn sẽ làm gì với một chuyên ngành tiếng Anh?,Tôi sẽ trở thành một giáo viên.
Tôi sẽ trở thành một giáo viên.,Trường trung học hay trung học cơ sở?
Trường trung học hay trung học cơ sở?,Trung học phổ thông.
